Extensometer Strain (1e-6),Engineering Stress (MPa)
8232,268.80994
8263,268.82861
8300,268.99149
8334,268.93185
8370,269.11044
8406,269.10547
8440,269.14929
8478,269.40756
8508,269.18942
8547,269.44254
8582,269.45761
8614,269.39334
8655,269.72269
8687,269.40903
8726,269.77054
8760,269.60895
8789,269.58435
8834,269.94418
8862,269.64264
8901,269.90689
8940,269.94815
8971,269.90744
9013,270.20511
9045,269.90729
9083,270.27304
9117,270.16556
9151,270.13626
9191,270.44705
9221,270.12674
9262,270.44559
9299,270.35321
9346,270.35922
9388,270.57666
9418,270.38354
9457,270.62775
9494,270.63568
9526,270.62854
9564,270.76318
9602,270.75406
9645,270.88345
9682,270.8653
9717,270.89514
9752,270.9342
9788,270.99072
9827,270.96924
9865,271.06271
9901,271.09396
9936,271.06116
9978,271.24753
10016,271.13449
10053,271.28201
10090,271.33475
10125,271.28952
10167,271.60464
10197,271.28317
10236,271.51706
10276,271.539
10306,271.42068
10348,271.75116
10379,271.43979
10417,271.69629
10456,271.65955
10489,271.56735
10530,271.95056
10560,271.65591
10598,271.91098
10637,271.94119
10671,271.8327
10713,272.19058
10743,271.81894
10783,272.13004
10823,272.06229
10855,271.98721
10896,272.26932
10928,272.02869
10967,272.23984
11004,272.25632
11038,272.19366
11080,272.37912
11117,272.29959
11153,272.43735
11189,272.45312
11225,272.45596
11263,272.56555
11303,272.51663
11339,272.55576
11381,272.62775
11423,272.63736
11473,272.60983
11518,272.7623
11551,272.65973
11586,272.75821
11623,272.81363
11656,272.77151
11699,273.02509
11728,272.79788
11769,273.03665
11809,273.04834
11840,272.89789
11883,273.25726
11914,272.92862
11955,273.14203
11991,273.14874
12023,273.03308
12067,273.39163
12096,273.04645
12134,273.28857
12170,273.32736
12203,273.21725
12248,273.61441
12279,273.28009
12317,273.5296
12358,273.51614
12392,273.37323
12436,273.73291
12469,273.41245
12505,273.61453
12544,273.68964
12577,273.55829
12617,273.77838
12650,273.60895
12686,273.7583
12722,273.8175
12759,273.75507
12797,273.96616
12837,273.90491
12870,273.9104
12907,273.96649
12946,273.98737
12982,274.05093
13019,274.0838
13053,274.04181
13090,274.10809
13126,274.11948
13162,274.0918
13200,274.29349
13235,274.16635
13271,274.24011
13312,274.37595
13348,274.26764
13387,274.53128
13420,274.30371
13460,274.46204
13497,274.539
13529,274.34573
13572,274.69952
13604,274.39359
13641,274.56625
13680,274.64819
13712,274.47522
13754,274.84048
13787,274.5369
13823,274.71814
13865,274.84869
13898,274.67389
13916,274.81979
13916,274.82339
13940,274.24945
13952,273.41641
13962,272.75784
13972,272.22073
13976,271.76303
13983,271.37009
13985,271.01636
13992,270.70929
13993,270.42114
13995,270.1694
13995,270.16324
13995,270.16016
13996,269.82968
