True Stress (Mpa),True Strain (microstrain)
239.2809855,3994.013299
240.1021915,4041.820826
240.893575,4087.634228
241.8962007,4138.424895
242.7677378,4188.217161
243.6076092,4239.998489
244.3395885,4293.768568
245.0744282,4344.548766
245.8578288,4399.308835
246.4455108,4451.079233
247.15626,4501.851443
247.7830717,4558.593805
248.3772179,4611.351357
249.0077613,4674.059545
249.7179157,4733.777973
250.2419713,4789.511954
250.6623305,4846.237996
251.0539953,4902.96082
251.7146813,4962.66558
252.2963986,5021.371785
252.671887,5079.07961
253.0023382,5141.758475
253.5611158,5206.423027
254.0803035,5270.088656
254.3071418,5328.776816
254.6002087,5386.466905
255.0696839,5452.110199
255.540361,5512.776685
255.8740378,5575.428373
256.1898603,5640.06489
256.5039113,5704.697229
256.8630757,5773.302372
257.045416,5831.961008
257.3885377,5894.592702
257.7444857,5959.208593
258.0162718,6023.820309
258.2289872,6089.42178
258.5599306,6159.988255
258.9607732,6225.580794
259.0389423,6291.169031
259.0734192,6352.778305
259.4703529,6420.345403
259.8221894,6486.914402
260.0146157,6551.492032
260.137563,6617.058897
260.3446691,6687.58815
260.7421125,6762.085479
260.8066136,6825.652145
260.8459909,6888.221636
261.1295073,6956.745634
261.4613986,7025.264937
261.6187991,7093.779545
261.7459608,7163.282322
261.9154425,7232.780269
262.0647987,7302.273386
262.2048294,7368.783704
262.3267002,7436.28219
262.6116629,7504.768645
262.7366372,7571.265496
262.8052973,7637.757926
263.0538762,7713.176824
263.2890856,7788.590034
263.3248318,7855.068015
263.3046803,7920.549468
263.4903389,7989.002765
263.8162243,8060.427298
263.9972607,8129.862925
263.9835893,8200.285565
264.0731834,8272.686771
264.305796,8347.066113
264.4131092,8413.50698
264.4376352,8479.943433
264.5379676,8552.324394
264.7493448,8622.717291
264.9563716,8694.096577
264.9787741,8766.46204
265.1894949,8839.813467
265.2304156,8911.177259
265.2090193,8976.589594
265.3693965,9045.961639
265.5999517,9117.310721
265.7590661,9191.627269
265.7608236,9259.002832
265.808795,9334.299561
266.0174534,9407.609349
266.160739,9477.942067
266.0839452,9543.317341
266.1377939,9613.640516
266.3899815,9685.939469
